UID          PID    PPID  C STIME TTY          TIME CMD
root         952     806  0 17:15 tty7     00:01:00 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         960       1  0 17:15 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1044       2  0 17:15 ?        00:00:00 [psimon]
rtkit       1074       1  0 17:15 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1145     806  0 17:15 ?        00:00:00 lightdm --session-child 15 26
kali        1152       1  0 17:15 ?        00:00:00 /lib/systemd/systemd --user
kali        1153    1152  0 17:15 ?        00:00:00 (sd-pam)
root        1169       2  0 17:15 ?        00:00:00 [psimon]
kali        1172    1152  0 17:15 ?        00:00:00 /usr/bin/pipewire
kali        1173    1152  0 17:15 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
kali        1174    1152  0 17:15 ?        00:00:00 /usr/bin/wireplumber
kali        1175    1152  0 17:15 ?        00:00:00 /usr/bin/pipewire-pulse
kali        1176    1152  0 17:15 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kali        1180    1152  0 17:15 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kali        1202    1145  0 17:15 ?        00:00:00 xfce4-session
kali        1246    1202  0 17:15 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
kali        1256    1152  0 17:15 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kali        1263    1256  0 17:15 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
kali        1275    1152  0 17:15 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali        1287    1152  0 17:15 ?        00:00:00 /usr/bin/gpg-agent --supervised
kali        1289    1202  0 17:15 ?        00:00:27 xfwm4
kali        1293    1152  0 17:15 ?        00:00:00 /usr/libexec/gvfsd
kali        1299    1152  0 17:15 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali        1323    1202  0 17:15 ?        00:00:00 xfsettingsd
root        1327       1  0 17:15 ?        00:00:01 /usr/libexec/upowerd
kali        1333    1202  0 17:15 ?        00:00:01 xfce4-panel
kali        1338    1202  0 17:15 ?        00:00:00 Thunar --daemon
kali        1344    1202  0 17:15 ?        00:00:01 xfdesktop
kali        1345    1333  0 17:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
kali        1352    1333  0 17:15 ?        00:00:22 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
kali        1353    1333  0 17:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kali        1354    1333  0 17:15 ?        00:00:21 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
